# PlayerState の「書かれるだけで読まれない」キー（§5.3 `O-226` の一般化）
# ⚠候補出しであって判定ではない＝動的アクセスは数えられない。1件ずつ grep で消費地点を確かめること。

PlayerState のキー: 334
🔴 書きあり・読み 0: 0


## 参考：書き込みの多い順（上位40）
  1386 読 /  96 書  energy
  1167 読 /  71 書  deck
  3503 読 /  68 書  field
  1531 読 /  63 書  trash
  1700 読 /  59 書  hand
    54 読 /  41 書  temp_power_mods
   193 読 /  39 書  lrig_deck
   161 読 /  23 書  lrig_trash
   120 読 /  23 書  keyword_grants
   152 読 /  21 書  life_cloth
    95 読 /  17 書  blocked_actions
   100 読 /  15 書  coins
     3 読 /  14 書  opp_virus_removed_just
     7 読 /  12 書  pending_banish_substitute
   284 読 /  11 書  actions_done
     2 読 /  11 書  self_optional_effect_taken
    11 読 /  10 書  pending_crash_source_card_nums
    27 読 /  10 書  granted_effects
     5 読 /  10 書  banish_substitute_choice
    16 読 /   9 書  pending_crashed_cards
     6 読 /   9 書  crash_source_card_num
    10 読 /   8 書  card_class_overrides
    13 読 /   7 書  story_overrides
     2 読 /   7 書  banish_redirect_battle_target_nums
     2 読 /   7 書  banish_redirect_power0_target_nums
     4 読 /   7 書  prevent_defeat
     9 読 /   7 書  attack_phase_level_overrides
    19 読 /   7 書  card_identity_overrides
    16 読 /   7 書  lrig_riding_signi
    16 読 /   7 書  lrig_upkeep_condition
     6 読 /   7 書  is_betting_this_effect
     1 読 /   7 書  cancel_current_signi_attack
     9 読 /   6 書  pending_crash_causes
    14 読 /   6 書  temp_level_mods
     1 読 /   6 書  prevent_lrig_damage
     1 読 /   6 書  draw_limit
     4 読 /   6 書  signi_color_overrides
     4 読 /   6 書  signi_deploy_count_limit
     1 読 /   6 書  acce_just_done
     9 読 /   6 書  signi_played_from_non_hand_this_turn
