# durational付与 先頭/文中「ターン終了時まで」action内duration脱落 母集団（精密・機械抽出）
# ✅是正済（続き62・Opus）＝decompiler側 restoreLeadDuration で112枚が期間注記を獲得。engine/JSON不変・同型★0・全ゲート緑。
#   下記母集団132のうち34は抽出の偽陽性（恒久【常】/【ライズ】付与 or 期間句がPOWER_MODIFYに帰属）で正しく無注記。詳細 BUGFIXES/PLAN §5b。
#   このファイルは当時の抽出記録（履歴保存）。再生成は scripts/archive/extractDurationLeadPopulation.mjs。
# 生成: scripts/archive/extractDurationLeadPopulation.mjs
# 条件 = (症状) decompile 原文count>逆翻訳count  AND  (原因) 付与系action〔GRANT_KEYWORD/GRANT_EFFECT/REMOVE_ABILITIES/SET_BASE_LEVEL/LRIG_LIMIT_MODIFY〕のaction内 duration/until が end-of-turn でない
# 該当カード 132（うち MANUAL効果を含む 8 / AUTO のみ 124）
# 型別（延べ・effect単位）: GRANT_KEYWORD=115 / REMOVE_ABILITIES=23
# drop分布: drop1=110 / drop2=21 / drop3=1
# 修正方針（次セッション用・engine非依存）＝decompiler が action内 duration を落としたカードで原文に「ターン終了時まで」があれば注記を復元する系（§5b）。
#   ⚠一括置換禁止（続き59＝parser側で先頭duration一般復元を試すと curated=PERMANENT慣例と衝突し held 124→219 激増）。系統確立→各カードverify で。
#   MANUAL効果はJSON手編集での duration 追記が素直（原文照合の上で）。AUTO効果は parser/decompiler 側の系統修正候補。

cardId	drop(orig/dec)	該当effect[脱落型;MANUAL]
WD15-010	1(1/0)	WD15-010-E1[GRANT_KEYWORD]
WDK07-Y08	2(2/0)	WDK07-Y08-E1[REMOVE_ABILITIES]
WDK08-Y11	1(1/0)	WDK08-Y11-E2[GRANT_KEYWORD]
WDK08-Y17	1(1/0)	WDK08-Y17-E1[GRANT_KEYWORD]
WDK12-011	1(1/0)	WDK12-011-E2[GRANT_KEYWORD]
WDK15-011	2(2/0)	WDK15-011-E1[GRANT_KEYWORD]
WX07-009	1(1/0)	WX07-009-E2[REMOVE_ABILITIES]
WX07-042	2(2/0)	WX07-042-E2[GRANT_KEYWORD]
WX08-001	1(1/0)	WX08-001-E1[GRANT_KEYWORD;MANUAL]
WX08-024	1(1/0)	WX08-024-E3[GRANT_KEYWORD]
WX09-011	1(1/0)	WX09-011-E2[GRANT_KEYWORD]
WX09-013	1(1/0)	WX09-013-E3[GRANT_KEYWORD]
WX10-030	1(1/0)	WX10-030-E3[GRANT_KEYWORD]
WX10-047	2(2/0)	WX10-047-E1[GRANT_KEYWORD]
WX12-023	1(1/0)	WX12-023-E1[REMOVE_ABILITIES]
WX19-022	1(1/0)	WX19-022-BURST[REMOVE_ABILITIES]
WX20-037	1(1/0)	WX20-037-E2[GRANT_KEYWORD]
WX22-022	1(1/0)	WX22-022-E1[GRANT_KEYWORD]
WX24-D4-15	1(1/0)	WX24-D4-15-E1[GRANT_KEYWORD]
WX24-D4-20	2(2/0)	WX24-D4-20-E1[GRANT_KEYWORD]
WX24-P1-016	1(1/0)	WX24-P1-016-E1[REMOVE_ABILITIES]
WX24-P1-050	2(2/0)	WX24-P1-050-E2[REMOVE_ABILITIES]
WX24-P1-072	1(1/0)	WX24-P1-072-E1[GRANT_KEYWORD]
WX24-P2-051	1(1/0)	WX24-P2-051-E2[GRANT_KEYWORD]
