CardNum,CardName,チェック済み
WD01-001,満月の巫女　タマヨリヒメ,
WD01-002,弦月の巫女　タマヨリヒメ,
WD01-003,半月の巫女　タマヨリヒメ,
WD01-004,三日月の巫女　タマヨリヒメ,
WD01-005,新月の巫女　タマヨリヒメ,
WD01-006,ロココ・バウンダリー,
WD01-007,エイボン,
WD01-008,バロック・ディフェンス,
WD01-009,甲冑　ローメイル,
WD01-010,大剣　カリバン,
WD01-011,篭手　トレット,
WD01-012,中剣　フランベル,
WD01-013,小剣　ククリ,
WD01-014,小弓　ボーニャ,
WD01-015,ゲット・バイブル,
WD01-016,サーバント　Ｄ,
WD01-017,サーバント　Ｏ,
WD01-018,噴流する知識,
WD02-001,花代・肆,
WD02-002,花代・参,
WD02-003,花代・爾,
WD02-004,花代・壱,
WD02-005,花代・零,
WD02-006,飛火夏虫,
WD02-007,背炎之陣,
WD02-008,焼石炎,
WD02-009,羅石　ヴォルカノ,
WD02-010,羅石　シルバン,
WD02-011,羅石　ガーネット,
WD02-012,羅石　ブロンダ,
WD02-013,羅石　アイロン,
WD02-014,羅石　アメジスト,
WD02-015,轟音の火柱,
WD03-001,コード・ピルルク・Ｔ,
WD03-002,コード・ピルルク・Ｇ,
WD03-003,コード・ピルルク・Ｍ,
WD03-004,コード・ピルルク・Ｋ,
WD03-005,コード・ピルルク,
WD03-006,ピーピング・アナライズ,
WD03-007,ドント・ムーブ,
WD03-008,ドロー・ツー,
WD03-009,コードアート　Ｒ・Ｍ・Ｎ,
WD03-010,コードアート　Ｄ・Ｒ・Ｓ,
WD03-011,コードアート　Ｓ・Ｍ・Ｐ,
WD03-012,コードアート　Ｊ・Ｖ,
WD03-013,コードアート　Ｓ・Ｃ,
WD03-014,コードアート　Ｒ・Ｆ・Ｒ,
WD03-015,ＴＯＯ　ＢＡＤ,
WD04-001,四ノ娘　緑姫,
WD04-002,三ノ娘　緑姫,
WD04-003,二ノ娘　緑姫,
WD04-004,一ノ娘　緑姫,
WD04-005,闘娘　緑姫,
WD04-006,意気揚々,
WD04-007,再三再四,
WD04-008,付和雷同,
WD04-009,幻獣　セイリュ,
WD04-010,幻獣　ミスザク,
WD04-011,幻獣　ビグタット,
WD04-012,幻獣　コアラン,
WD04-013,幻獣　コゲンブ,
WD04-014,幻獣　パンダン,
WD04-015,幻獣　ヒャッコ,
WD04-016,サーバント　Ｑ２,
WD04-017,サーバント　Ｏ２,
WD04-018,堕絡,
WD05-001,獄卒の閻魔　ウリス,
WD05-002,阿鼻の閻魔　ウリス,
WD05-003,衆合の閻魔　ウリス,
WD05-004,灼熱の閻魔　ウリス,
WD05-005,閻魔　ウリス,
WD05-006,モーメント・パニッシュ,
WD05-007,エターナル・パニッシュ,
WD05-008,グレイブ・アウト,
WD05-009,堕落の砲女　メツム,
WD05-010,廃悪の象徴　ベルゼ,
WD05-011,堕落の砲女　キャリ,
WD05-012,背徳の象徴　コスモ,
WD05-013,小悪の象徴　コオニ,
WD05-014,堕落の砲女　サキュ,
WD05-017,ホール・ダーク,
WD05-018,想起する祝福,
WX01-001,太陽の巫女　タマヨリヒメ,
WX01-002,暁の巫女　タマヨリヒメ,
WX01-003,百火繚乱　花代・肆,
WX01-004,轟炎　花代・爾改,
WX01-005,コード　ピルルク・Ω,
WX01-006,四式戦帝女　緑姫,
WX01-007,月蝕の巫女　タマヨリヒメ,
WX01-008,流星の巫女　タマヨリヒメ,
WX01-009,新星の巫女　タマヨリヒメ,
WX01-010,ゼノゲート,
WX01-011,熾炎舞　花代・参,
WX01-012,剛炎　花代・爾,
WX01-013,焔　花代・壱,
WX01-014,烈覇一絡,
WX01-015,コード　ピルルク・Γ,
WX01-016,コード　ピルルク・Β,
WX01-017,コード　ピルルク・Α,
WX01-018,アンチ・スペル,
WX01-019,四型皇艶娘　緑姫,
WX01-020,三型雌々娘　緑姫,
WX01-021,二型闘婚娘　緑姫,
WX01-022,一型舞闘娘　緑姫,
WX01-023,大器晩成,
WX01-024,奇奇怪怪,
WX01-025,サルベージ,
WX01-026,チャージング,
WX01-027,原槍　エナジェ,
WX01-028,アーク・オーラ,
WX01-029,羅輝石　アダマスフィア,
WX01-030,贖罪の対火,
WX01-031,コードハート　Ｖ・Ａ・Ｃ,
WX01-032,ＳＮＡＴＣＨＥＲ,
WX01-033,幻獣神　オサキ,
WX01-034,修復,
WX01-035,祝福の女神　アテナ,
WX01-036,巨弓　カタパル,
WX01-037,忘得ぬ幻想　ヴァルキリー,
WX01-038,ゲット・ダンタリアン,
WX01-039,弩砲　カノン,
WX01-040,羅石　オリハルク,
WX01-041,轟砲　オルドナンス,
WX01-042,断罪の轢断,
WX01-043,幻水　アライアル,
WX01-044,コードアート　Ｐ・Ｚ・Ｌ,
WX01-045,幻水　シャークランス,
WX01-046,ＢＡＤ　ＣＯＮＤＩＴＩＯＮ,
WX01-047,羅植　マンドレ,
