CardNum,CardName,ImgURL,Type,CardClass,Color,Level,GrowCost,Cost,Limit,Power,Restriction,Team,Timing,Guard,Coin,Story,LifeBurst,EffectText,BurstText
WX22-001,悲願の駄姫　グズ子,https://www.takaratomy.co.jp/products/wixoss/img/card/WX22/WX22-001.jpg,ルリグ,グズ子,黒,5,《黒》×２,-,12,-,-,-,-,0,-,-,0,【出】：あなたのトラッシュから＜遊具＞のシグニを２枚まで対象とし、それらを場に出す。【起】《ターン１回》《メインフェイズアイコン》《アタックフェイズアイコン》《黒×0》：対戦相手のシグニ１体を対象とし、あなたの＜遊具＞のシグニ１体を場からトラッシュに置く。そうした場合、ターン終了時まで、それのパワーを－12000する。【起】《アタックフェイズアイコン》《コインアイコン》《コインアイコン》：このアタックフェイズの間、あなたの＜遊具＞のシグニ１体が場を離れたとき、あなたの手札からそのシグニより低いレベルを持つ＜遊具＞のシグニ１枚を場に出す。,-
WX22-002,永らえし使　リワト＝エナ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX22/WX22-002.jpg,ルリグ,タウィル,無,5,《無》×０,-,15,-,-,-,-,0,-,-,0,【常】：対戦相手のターンの間、対戦相手のセンタールリグのリミットは１減る。【自】：あなたのアタックフェイズ開始時、あなたの場に白の＜天使＞のシグニがある場合、対象の対戦相手のシグニ１体を手札に戻す。赤の＜天使＞がある場合、対象の対戦相手のシグニ１体をバニッシュする。青の＜天使＞がある場合、対戦相手は手札を１枚捨てる。緑の＜天使＞がある場合、あなたのデッキの一番上のカードをエナゾーンに置く。黒の＜天使＞がある場合、あなたのトラッシュから対象のシグニ１枚を手札に加える。,-
WX22-003,クトゥル・アビス,https://www.takaratomy.co.jp/products/wixoss/img/card/WX22/WX22-003.jpg,アーツ,-,白黒,-,-,《白》×２《黒》×２,-,-,-,-,メインフェイズアタックフェイズ,0,-,-,0,対象の対戦相手のシグニ１体をトラッシュに置く。ターン終了時まで、対象の対戦相手のセンタールリグ１体は「【常】：アタックできない。」を得る。あなたのトラッシュから対象のシグニ１枚を場に出す。それの【出】能力は発動しない。,-
WX22-004,全戦全焼,https://www.takaratomy.co.jp/products/wixoss/img/card/WX22/WX22-004.jpg,アーツ,-,赤,-,-,《赤》×７《無》×７,-,-,-,-,メインフェイズアタックフェイズ,0,-,-,0,このアーツの使用コストは、あなたのルリグトラッシュにあるアーツ１枚につき《赤×1》《無×1》減る。対戦相手のすべてのシグニをバニッシュする。,-
WX22-005,グラン・クロス,https://www.takaratomy.co.jp/products/wixoss/img/card/WX22/WX22-005.jpg,アーツ,-,赤青緑,-,-,《赤》×１《青》×１《緑》×１,-,-,タウィル限定,-,メインフェイズアタックフェイズスペルカットイン,0,-,-,0,以下の３つから１つを選ぶ。①あなたのデッキから赤か青か緑の＜天使＞のシグニを合計３枚まで探して場に出し、デッキをシャッフルする。②カードを６枚引く。③対象のスペル１つの効果を打ち消す。そうした場合、対戦相手のエナゾーンから対象のカード１枚をトラッシュに置き、あなたのデッキの一番上のカードをライフクロスに加える。,-
WX22-006,差し伸べし者　タウィル,https://www.takaratomy.co.jp/products/wixoss/img/card/WX22/WX22-006.jpg,キー,-,白,-,-,《コイン》×２,-,-,-,-,-,0,-,-,0,【常】：あなたのセンタールリグは以下の能力を得る。【起】《ターン１回》《アタックフェイズアイコン》エクシード２：あなたのデッキからレベル４以下のシグニ１枚を探して場に出し、デッキをシャッフルする。そのシグニの【出】能力は発動しない。【起】《ターン１回》《アタックフェイズアイコン》エクシード２：あなたのトラッシュから＜精元＞ではないそれぞれ名前の異なる対象のシグニ７枚をデッキに加えてシャッフルする。この方法で共通するクラスを持つシグニ７枚をデッキに加えた場合、対象の対戦相手のシグニ１体をトラッシュに置く。,-
WX22-007,ドーナ　ＦＯＵＲＴＨ＋,https://www.takaratomy.co.jp/products/wixoss/img/card/WX22/WX22-007.jpg,ルリグ,ドーナ,白,4,《白》×２,-,12,-,-,-,-,0,-,-,0,-,-
WX22-008,ミルルン・モル,https://www.takaratomy.co.jp/products/wixoss/img/card/WX22/WX22-008.jpg,ルリグ,ミルルン,青,4,《青》×３,-,11,-,-,-,-,0,-,-,0,【出】：あなたのデッキの上からカードを４枚公開する。その中からそれぞれ名前の異なるように好きな枚数の＜原子＞のシグニを選び手札に加え、残りをトラッシュに置く。【起】《ターン２回》《スペルカットインアイコン》《青×0》：コストの合計が１以下のスペル１つを対象とし、それの効果を打ち消す。そうした場合、カードを１枚引く。【起】《アタックフェイズアイコン》エクシード１：対戦相手のシグニ１体を対象とし、手札から＜原子＞のシグニを１枚捨てる。そうした場合、それをバニッシュする。,-
WX22-009,らぶりーあーや！Ⅳ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX22/WX22-009.jpg,ルリグ,あや,青,4,《青》×２,-,12,-,-,-,-,0,-,-,0,-,-
WX22-010,アイヤイ★ロイヤルフラッシュ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX22/WX22-010.jpg,ルリグ,アイヤイ,緑,5,《緑》×２,-,12,-,-,-,-,0,-,-,0,【自】：各アタックフェイズ開始時、あなたのルリグデッキから＜遊具＞のレゾナ１枚を出現条件を無視して場に出す。【起】《ターン１回》《緑》：あなたのエナゾーンからシグニを３枚まで対象とし、それらを手札に加える。【起】《ターン１回》エクシード２：このターンの最初のアタックフェイズの後に、追加のアタックフェイズを加える。この方法で加えたアタックフェイズの開始時、あなたのすべての＜遊具＞のシグニをチェックゾーンに置く。その後、それらを場に出し、このルリグをアップする。,-
