CardNum,CardName,ImgURL
WD02-016,サーバント　Ｄ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD02/WD02-016.jpg
WD02-017,サーバント　Ｏ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD02/WD02-017.jpg
WD02-018,噴流する知識,https://www.takaratomy.co.jp/products/wixoss/img/card/WD02/WD02-018.jpg
WD03-016,サーバント　Ｄ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD03/WD03-016.jpg
WD03-017,サーバント　Ｏ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD03/WD03-017.jpg
WD03-018,噴流する知識,https://www.takaratomy.co.jp/products/wixoss/img/card/WD03/WD03-018.jpg
WD05-015,サーバント　Ｄ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD05/WD05-015.jpg
WD05-016,サーバント　Ｏ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD05/WD05-016.jpg
WX01-048,幻獣　ビグタット,https://www.takaratomy.co.jp/products/wixoss/img/card/WX01/WX01-048.jpg
WX01-091,幻獣　コアラン,https://www.takaratomy.co.jp/products/wixoss/img/card/WX01/WX01-091.jpg
WX01-095,幻獣　パンダン,https://www.takaratomy.co.jp/products/wixoss/img/card/WX01/WX01-095.jpg
WX01-101,サーバント　Ｄ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX01/WX01-101.jpg
WX01-102,サーバント　Ｏ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX01/WX01-102.jpg
WX01-103,噴流する知識,https://www.takaratomy.co.jp/products/wixoss/img/card/WX01/WX01-103.jpg
WX02-076,サーバント　Ｑ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX02/WX02-076.jpg
WX02-079,サーバント　Ｏ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX02/WX02-079.jpg
WX02-080,想起する祝福,https://www.takaratomy.co.jp/products/wixoss/img/card/WX02/WX02-080.jpg
WX07-079,サーバント　Ｑ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX07/WX07-079.jpg
WX07-080,サーバント　Ｔ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX07/WX07-080.jpg
WX07-081,サーバント　Ｄ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX07/WX07-081.jpg
WX07-082,サーバント　Ｏ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX07/WX07-082.jpg
WX08-082,サーバント　Ｑ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX08/WX08-082.jpg
WX08-083,サーバント　Ｔ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX08/WX08-083.jpg
WX08-084,サーバント　Ｄ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX08/WX08-084.jpg
WX08-085,サーバント　Ｏ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX08/WX08-085.jpg
WX12-Re08,祝福の女神　アテナ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-Re08.jpg
WX12-Re11,宝具　ミカガミ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-Re11.jpg
WX12-Re19,三首の連打　ケルべルン,https://www.takaratomy.co.jp/products/wixoss/img/card/WX12/WX12-Re19.jpg
WX13-097,サーバント　Ｑ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX13/WX13-097.jpg
WX13-098,サーバント　Ｔ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX13/WX13-098.jpg
WX13-099,サーバント　Ｄ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX13/WX13-099.jpg
WX13-100,サーバント　Ｏ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX13/WX13-100.jpg
WX15-119,サーバント　Ｑ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-119.jpg
WX15-120,サーバント　Ｔ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-120.jpg
WX15-121,サーバント　Ｄ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-121.jpg
WX15-122,サーバント　Ｏ２,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-122.jpg
WX15-123,噴流する知識,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-123.jpg
WX15-Re01,炎固一徹,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re01.jpg
WX15-Re02,ブラッディ・スラッシュ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re02.jpg
WX15-Re03,小砲　ブドー,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re03.jpg
WX15-Re04,羅石　キュア,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re04.jpg
WX15-Re05,烈情の割裂,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re05.jpg
WX15-Re06,コードアート　Ｔ・Ａ・Ｐ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re06.jpg
WX15-Re07,ＦＲＥＥＺＥ　ＴＨＲＯＵＧＨ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re07.jpg
WX15-Re08,ＴＨＲＥＥ　ＯＵＴ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re08.jpg
WX15-Re09,羅植　カーノ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re09.jpg
WX15-Re10,羅植　カヤッパ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re10.jpg
WX15-Re11,羅植　シクラメン,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re11.jpg
WX15-Re13,アイン＝ダガ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re13.jpg
WX15-Re14,コードアンチ　パルベック,https://www.takaratomy.co.jp/products/wixoss/img/card/WX15/WX15-Re14.jpg
WX16-Re12,多元描写,https://www.takaratomy.co.jp/products/wixoss/img/card/WX16/WX16-Re12.jpg
WX16-Re13,やり直しの対話　ミカエル,https://www.takaratomy.co.jp/products/wixoss/img/card/WX16/WX16-Re13.jpg
WX16-Re14,探求の思想　ハニエル,https://www.takaratomy.co.jp/products/wixoss/img/card/WX16/WX16-Re14.jpg
WX16-Re15,サーバント　Ｙ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX16/WX16-Re15.jpg
WX17-Re06,ドント・ムーブ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX17/WX17-Re06.jpg
WX17-Re07,チェイン・Ｂ＆Ｂ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX17/WX17-Re07.jpg
WX17-Re08,ブルー・パニッシュ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX17/WX17-Re08.jpg
WX17-Re09,ロック・ユー,https://www.takaratomy.co.jp/products/wixoss/img/card/WX17/WX17-Re09.jpg
WX17-Re10,ＰＲＥＣＩＯＵＳ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX17/WX17-Re10.jpg
WX17-Re11,ＰＩＣＫ　ＵＰ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX17/WX17-Re11.jpg
WX17-Re12,ＣＲＹＳＴＡＬ　ＳＥＡＬ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX17/WX17-Re12.jpg
WX17-Re13,羅石　カクセン,https://www.takaratomy.co.jp/products/wixoss/img/card/WX17/WX17-Re13.jpg
WX17-Re15,三焼揃踏,https://www.takaratomy.co.jp/products/wixoss/img/card/WX17/WX17-Re15.jpg
WX19-Re01,忘得ぬ幻想　ヴァルキリー,https://www.takaratomy.co.jp/products/wixoss/img/card/WX19/WX19-Re01.jpg
WX19-Re02,出弓　ボウ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX19/WX19-Re02.jpg
WX19-Re03,小盾　ラウンド,https://www.takaratomy.co.jp/products/wixoss/img/card/WX19/WX19-Re03.jpg
WX19-Re06,ゲット・インデックス,https://www.takaratomy.co.jp/products/wixoss/img/card/WX19/WX19-Re06.jpg
WX19-Re07,羅石　ヒスイ,https://www.takaratomy.co.jp/products/wixoss/img/card/WX19/WX19-Re07.jpg
WX19-Re08,羅石　アメジスト,https://www.takaratomy.co.jp/products/wixoss/img/card/WX19/WX19-Re08.jpg
WX19-Re09,ハンマー・チャンス,https://www.takaratomy.co.jp/products/wixoss/img/card/WX19/WX19-Re09.jpg
