CardNum,CardName,ImgURL,Type,CardClass,Color,Level,GrowCost,Cost,Limit,Power,Restriction,Team,Timing,Guard,Coin,Story,LifeBurst,EffectText,BurstText
WDK05-T01,夜明の巫女　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WDK05/WDK05-T01.jpg,ルリグ,タマ,白,4,《白》×０,-,11,-,-,-,-,0,2,-,0,【常】：あなたの場に《燃盛　遊月・鍵》がいるかぎり、このルリグは【ダブルクラッシュ】を得る。【出】：あなたは手札を好きな枚数捨てる。この方法でカードを１枚以上捨てた場合、捨てたカード１枚につきあなたのデッキから＜遊具＞のシグニ１枚を探して公開し手札に加え、デッキをシャッフルする。【起】《ターン１回》《メインフェイズアイコン》《アタックフェイズアイコン》《白×0》：あなたのデッキの一番上を見る。,-
WDK05-T02,雷鳴の巫女　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WDK05/WDK05-T02.jpg,ルリグ,タマ,白,3,《白》×２,-,7,-,-,-,-,0,-,-,0,【出】：《コインアイコン》《コインアイコン》を得る。,-
WDK05-T03,若月の巫女　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WDK05/WDK05-T03.jpg,ルリグ,タマ,白,2,《白》×１,-,4,-,-,-,-,0,-,-,0,【出】《コインアイコン》：カードを１枚引く。,-
WDK05-T04,初月の巫女　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WDK05/WDK05-T04.jpg,ルリグ,タマ,白,1,《白》×０,-,2,-,-,-,-,0,-,-,0,【出】手札を１枚捨てる：《コインアイコン》を得る。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）,-
WDK05-T05,新月の巫女　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WDK05/WDK05-T05.jpg,ルリグ,タマ,白,0,《白》×０,-,0,-,-,-,-,0,-,-,0,-,-
WDK05-T06,モダン・バウンダリー,https://www.takaratomy.co.jp/products/wixoss/img/card/WDK05/WDK05-T06.jpg,アーツ,-,白,-,-,《白》×１《無》×１,-,-,タマ限定,-,メインフェイズアタックフェイズ,0,-,-,0,数字１つを宣言する。その後、あなたのデッキの上からカードを３枚公開する。その中に宣言した数字と同じレベルのシグニがある場合、対戦相手のシグニ１体を対象とし、それを手札に戻す。この効果で公開したカードを好きな順番でデッキの一番上に戻す。,-
WDK05-T07,クリン・バウンダリー,https://www.takaratomy.co.jp/products/wixoss/img/card/WDK05/WDK05-T07.jpg,アーツ,-,白,-,-,《白》×１,-,-,タマ限定,-,メインフェイズ,0,-,-,0,あなたの＜遊具＞のシグニを２体まで対象とし、それらを手札に戻す。その後、この方法で手札に戻したシグニ１体につき対戦相手のシグニ１体を対象とし、それらを手札に戻す。,-
WDK05-T08,イレイズ・ルフラン,https://www.takaratomy.co.jp/products/wixoss/img/card/WDK05/WDK05-T08.jpg,アーツ,-,白,-,-,《白》×１,-,-,-,-,メインフェイズアタックフェイズ,0,-,-,0,ベット―《コインアイコン》対戦相手のシグニ１体を対象とし、ターン終了時まで、それは能力を失う。あなたがベットしていた場合、代わりに対戦相手のすべてのシグニは能力を失う。（このアーツの後に得た能力や場に出たシグニの能力は失われない）,-
WDK05-T09,燃盛　遊月・鍵,https://www.takaratomy.co.jp/products/wixoss/img/card/WDK05/WDK05-T09.jpg,キー,-,赤,-,-,《コイン》×２,-,-,-,-,-,0,-,-,0,【常】：あなたのセンタールリグは以下の能力を得る。【起】エクシード１（あなたのルリグの下からカードを１枚ルリグトラッシュに置く）：このターン、対戦相手はレベル１のシグニで【ガード】ができない。【出】：対戦相手のエナゾーンから無色のカードを２枚まで対象とし、それらをトラッシュに置く。【起】このキーを場からルリグトラッシュに置く：対戦相手のエナゾーンからカード１枚を対象とし、それをトラッシュに置く。,-
WDK05-T10,ヴィクティム・ディフェンス,https://www.takaratomy.co.jp/products/wixoss/img/card/WDK05/WDK05-T10.jpg,アーツ,-,無,-,-,《無》×０,-,-,-,-,メインフェイズアタックフェイズ,0,-,-,0,ベット―《コインアイコン》（このアーツを使用する際に《コインアイコン》を支払ってもよい）以下の２つから１つを選ぶ。あなたがベットしていた場合、代わりに２つ選ぶ。①対戦相手のシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。手札を２枚捨てる。（手札が１枚以下で使用した場合すべて捨てる）②あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,-
